LINHA  | COL  | CATEGORIA            | LEXEMA
----------------------------------------------------------------------
1      | 1    | PALAVRA_RESERVADA    | from
1      | 6    | IDENTIFICADOR        | math
1      | 11   | PALAVRA_RESERVADA    | import
1      | 18   | IDENTIFICADOR        | sqrt
2      | 1    | PALAVRA_RESERVADA    | import
2      | 8    | IDENTIFICADOR        | os
4      | 1    | IDENTIFICADOR        | x
4      | 3    | OPERADOR             | =
4      | 5    | NUMERO               | 10
5      | 1    | IDENTIFICADOR        | y
5      | 3    | OPERADOR             | =
5      | 5    | NUMERO               | 20
7      | 1    | IDENTIFICADOR        | resultado
7      | 11   | OPERADOR             | =
7      | 13   | IDENTIFICADOR        | x
7      | 15   | OPERADOR             | +
7      | 17   | IDENTIFICADOR        | y
7      | 19   | OPERADOR             | *
7      | 21   | NUMERO               | 2
9      | 1    | PALAVRA_RESERVADA    | class
9      | 7    | IDENTIFICADOR        | Pessoa
9      | 13   | DELIMITADOR          | :
11     | 5    | IDENTIFICADOR        | nome
11     | 10   | OPERADOR             | =
11     | 12   | STRING               | "João"
13     | 1    | PALAVRA_RESERVADA    | def
13     | 5    | IDENTIFICADOR        | soma
13     | 9    | DELIMITADOR          | (
13     | 10   | DELIMITADOR          | )
13     | 11   | DELIMITADOR          | :
15     | 5    | PALAVRA_RESERVADA    | return
15     | 12   | IDENTIFICADOR        | x
15     | 14   | OPERADOR             | +
15     | 16   | IDENTIFICADOR        | y
17     | 1    | NUMERO               | 0.0
18     | 1    | NUMERO               | 0
19     | 1    | ERRO_LEXICO          | Número mal formado
21     | 1    | IDENTIFICADOR        | x
21     | 3    | OPERADOR             | =
21     | 5    | NUMERO               | 10
21     | 8    | OPERADOR             | +
21     | 10   | NUMERO               | 5
21     | 12   | OPERADOR             | *
21     | 14   | NUMERO               | 2
21     | 15   | FIM_DE_ARQUIVO       | EOF
